pattern_id,code,pattern,length,density,frequency,found_in
P117,OIJL,- - - - | - X - X | - - X X | X X - X,16,7,26,"ทยอยเขมร สามชั้น, โหมโรงกราวนอก, ทยอยใน เถา, ใบ้คลั่ง เถา, กราวนอก, โอ้ลาว เถา, ทยอยนอก สามชั้น, เขมรไทรโยค …+2"
P118,OPOP,- - - - | X X X X | - - - - | X X X X,16,8,26,"จีนล่องหน่าย, โหมโรงไอยเรศ สามชั้น, ช้างประสานงา เถา, อาถรรพ์ เถา, ระบำสุโขทัย, ฟ้อนพวงมาลัย, อกทะเล เถา, แขกกุลิต เถา …+10"
P119,NIPL,- X X X | - X - X | X X X X | X X - X,16,12,25,"กลม, ตะละแม่ศรี, ช้าเรื่องขอมดำดิน, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ลาวดวงเดือน สองชั้น, ฟ้อนพวงมาลัย, อะแซหวุ่นกี้ เถา …+1"
P120,NPIP,- X X X | X X X X | - X - X | X X X X,16,13,25,"สี่บท เถา, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ตับมโหรีนางนาค, ตับต้นเพลงฉิ่ง, ช้าเรื่องตะนาว (พระนคร), ตับวิวาห์พระสมุทร, ตับสมิงทอง, ฟ้อนลาวคำหอม (เสียง มซซซ)"
P121,PPEE,X X X X | X X X X | X X - - | X X - -,16,12,25,"แขกโอด สามชั้น, อาเฮีย เถา, อกทะเล สามชั้น, เขมรโพธิสัตว์ สามชั้น, เขมรลออองค์ เถา, ช้างประสานงา เถา, โสมส่องแสง เถา, เขมรโพธิสัตว์ เถา …+1"
P122,DDJI,- - - X | - - - X | - - X X | - X - X,16,6,24,"ระบำม่านมุ้ยเชียงตา, ตระมารละม่อม, ตระปลายพระลักษมณ์, ช้าเรื่องขอมดำดิน, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ระบำเริงอรุณ, ตระหญ้าปากคอก, ตระจอมศรี …+2"
P123,OIJI,- - - - | - X - X | - - X X | - X - X,16,6,24,"ระบำม่านมุ้ยเชียงตา, ลาวเสี่ยงเทียน เถา, รำวงมาตรฐาน, ใบ้คลั่ง เถา, จีนขิมเล็ก เถา, ระบำดอกบัว, ภิรมย์สุรางค์ เถา, ระบำชาวนา …+1"
P124,OOPI,- - - - | - - - - | X X X X | - X - X,16,6,24,"กราวนอก, แขกต่อยหม้อ เถา, ลาวดวงเดือน สองชั้น, ระบำม้า (เพลงม้าโขยก), ฟ้อนลาวคำหอม (เสียง มซซซ), โหมโรงจอมสุรางค์, แขกขาว เถา, ช้างประสานงา เถา …+11"
P125,IIPP,- X - X | - X - X | X X X X | X X X X,16,12,23,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ระบำม่านมุ้ยเชียงตา, ระบำสุโขทัย, ช้าเรื่องจีนแส (พระนคร), แสนสุดสวาท สามชั้น, ช้าเรื่องตะนาว (พระนคร), เขมรลออองค์ เถา, ช้างประสานงา เถา …+1"
P126,JNJN,- - X X | - X X X | - - X X | - X X X,16,10,23,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ต่อยรูป เถา, โหมโรงขวัญเมือง, ช้าเรื่องจีนแส (พระนคร), โหมโรงจีนโล้, แขกมอญบางขุนพรหม เถา, สุรินทราหู เถา, หกบท เถา …+1"
P127,OIID,- - - - | - X - X | - X - X | - - - X,16,5,23,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ตระนิมิต, บาทสกุณี (เสมอตีนนก), ตับสมิงทอง, จีนล่องหน่าย, ระบำไกรลาศสำเริง, มอญแปลง สองชั้น"
P128,OJOJ,- - - - | - - X X | - - - - | - - X X,16,4,23,"แขกโอด สามชั้น, ระบำอัศวลีลา"
P129,PEPE,X X X X | X X - - | X X X X | X X - -,16,12,23,"แขกโอด สามชั้น, สร้อยลำปาง เถา"
P130,PLPN,X X X X | X X - X | X X X X | - X X X,16,14,23,"ใบ้คลั่ง เถา, บุหลัน เถา, เทพรัญจวน เถา, ทยอยนอก สามชั้น, แขกกุลิต เถา, โหมโรงเยี่ยมวิมาน, โหมโรงไอยเรศ"
P131,IJNP,- X - X | - - X X | - X X X | X X X X,16,11,22,"ทยอยใน เถา, เทพรัญจวน เถา, ทะเลบ้า เถา, เทพบรรทม เถา, พม่าห้าท่อน หกชั้น, พม่าห้าท่อน สามชั้น"
P132,JJNP,- - X X | - - X X | - X X X | X X X X,16,11,22,"ฟ้อนพวงมาลัย, โอ้ลาว เถา, ลาวเสี่ยงเทียน เถา, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), อาถรรพ์ เถา, ระบำหน้าช้าง, พม่าห้าท่อน หกชั้น, ช้างประสานงา เถา …+2"
P133,NIPP,- X X X | - X - X | X X X X | X X X X,16,13,22,"ระบำนกเขามะราปี, บังใบ เถา, ระบำม่านมุ้ยเชียงตา, ช้าเรื่องจีนแส (พระนคร), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เขมรลออองค์ เถา, โหมโรงขวัญเมือง"
P134,NPNL,- X X X | X X X X | - X X X | X X - X,16,13,22,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ระบำพัทธวิสัย, ต่อยรูป สองชั้น, โหมโรงพม่าวัด, บุหลัน เถา, มอญรำดาบ เถา, ลาวดำเนินทราย สองชั้น, พม่าห้าท่อน หกชั้น"
P135,PIII,X X X X | - X - X | - X - X | - X - X,16,10,22,"ระบำพัทธวิสัย, ทยอยใน เถา, ทยอย, สุรินทราหู เถา, อาถรรพ์ เถา, แขกโอด สามชั้น, ใบ้คลั่ง เถา, ช้าเรื่องขอมดำดิน …+5"
P136,BP,- X - - | X X X X,8,5,21,เชิด ชั้นเดียว
P137,DPPP,- - - X | X X X X | X X X X | X X X X,16,13,21,"ทยอยญวน เถา, เงี้ยวรำลึก เถา, ลาวเสี่ยงเทียน เถา, ระบำเริงอรุณ, ระบำมฤคระเริง"
P138,IINL,- X - X | - X - X | - X X X | X X - X,16,10,21,"เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ตับสมิงทอง, ระบำสวัสดิรักษา, เชิด สองชั้น, มอญดูดาว สองชั้น, พม่าห้าท่อน หกชั้น, ทยอยใน เถา, แขกมอญบางขุนพรหม เถา …+2"
P139,INBP,- X - X | - X X X | - X - - | X X X X,16,10,21,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ตระนอน, ช้าเรื่องขอมดำดิน, พระรามเดินดง, พญาเดิน"
P140,IPIP,- X - X | X X X X | - X - X | X X X X,16,12,21,"ทยอยนอก สามชั้น, ระบำนพรัตน์, ระบำม่านมุ้ยเชียงตา, ฝรั่งรำเท้า, พม่าห้าท่อน หกชั้น, เขมรราชบุรี สามชั้น, ตับมโหรีนางนาค, โสมส่องแสง เถา …+1"
P141,NIDD,- X X X | - X - X | - - - X | - - - X,16,7,21,"ระบำดาวดึงส์, พม่าห้าท่อน สามชั้น, เสมอ, โหมโรงแขกมอญทางหลีก, โหมโรงจอมสุรางค์, โหมโรงไอยเรศ สามชั้น, เขมรพวง เถา, มอญรำดาบ เถา …+7"
P142,NNNP,- X X X | - X X X | - X X X | X X X X,16,13,21,"ระบำนกเขามะราปี, ทยอยนอก สามชั้น, ช้าเรื่องสร้อยสน (พระนคร), สร้อยลำปาง เถา, โอ้ลาว เถา, ช้าเรื่องจีนแส (พระนคร), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), สุดสงวน เถา …+4"
P143,ODII,- - - - | - - - X | - X - X | - X - X,16,5,21,"ระบำม่านมุ้ยเชียงตา, ระบำชาวนา, รำวงมาตรฐาน, ชมแสงจันทร์ เถา, อกทะเล สามชั้น, ระบำนกเขามะราปี, ช้าเรื่องตะนาว (พระนคร), โอ้ลาวครวญ …+2"
P144,OIDI,- - - - | - X - X | - - - X | - X - X,16,5,21,"เชิดฉาน, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ลาวดำเนินทราย สองชั้น, เชิดฉาน (ฉบับโครงสร้าง), ใบ้คลั่ง เถา, เขมรโพธิสัตว์ เถา, เขมรโพธิสัตว์ สองชั้น, ระบำเชียงแสน …+2"
P145,OIIN,- - - - | - X - X | - X - X | - X X X,16,7,21,"ลาวเสี่ยงเทียน เถา, ระบำสี่บท, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), สรภัญญะ, ระบำม่านมุ้ยเชียงตา, พม่าห้าท่อน หกชั้น, ชมแสงจันทร์ เถา, ลาวครวญ สองชั้น …+3"
P146,DPDP,- - - X | X X X X | - - - X | X X X X,16,10,20,"ทยอยญวน เถา, ทยอยใน เถา, ช้างประสานงา เถา, เทพบรรทม เถา, สี่บท เถา, ระบำนพรัตน์, ระบำกุญชรเกษม, ระบำชาวนา"
P147,JBII,- - X X | - X - - | - X - X | - X - X,16,7,20,"สารถี เถา, เขมรพวง เถา, ต่อยรูป เถา, อาถรรพ์ เถา, บังใบ เถา, สี่บท เถา, เทพนิมิต เถา, แขกมอญบางช้าง เถา …+1"
P148,JJIJ,- - X X | - - X X | - X - X | - - X X,16,8,20,"สี่บท เถา, ทยอยใน เถา, เทพรัญจวน เถา, บังใบ เถา, พม่าห้าท่อน หกชั้น, พม่าห้าท่อน สามชั้น, ราตรีประดับดาว เถา"
P149,NIJI,- X X X | - X - X | - - X X | - X - X,16,9,20,"ช้าเรื่องจีนแส (พระนคร), จีนลั่นถัน เถา, อาหนู เถา, พญาเดิน, จีนขิมเล็ก เถา, เชิดจีน, ตุ๊กตา สองชั้น, เทพนิมิต เถา"
P150,NLNL,- X X X | X X - X | - X X X | X X - X,16,12,20,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ลาวดำเนินทราย สองชั้น, ระบำนพรัตน์, บุหลัน เถา, พระรามเดินดง, เขมรลออองค์ เถา, แขกขาว เถา, แขกมอญบางขุนพรหม เถา …+8"
P151,NNNI,- X X X | - X X X | - X X X | - X - X,16,11,20,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ลาวเสี่ยงเทียน เถา, ระบำม่านมุ้ยเชียงตา, ช้าเรื่องตะนาว (พระนคร), สรภัญญะ, ตับวิวาห์พระสมุทร, ระบำเทพบันเทิง, เบ้าหลุด ชั้นเดียว"
P152,OOIL,- - - - | - - - - | - X - X | X X - X,16,5,20,"แขกกุลิต เถา, ฟ้อนลาวคำหอม (เสียง ลา), ระบำมยุราภิรมย์, ฟ้อนลาวคำหอม (เสียง มซซซ), ลาวคำหอม (เสียง ลา — อีกฉบับ), โหมโรงกราวนอก, โหมโรงสามม้า, ทยอยญวน เถา …+2"
P153,PLPP,X X X X | X X - X | X X X X | X X X X,16,15,20,"ใบ้คลั่ง เถา, ทยอยญวน เถา, เทพรัญจวน เถา, โหมโรงกราวนอก, โหมโรงเยี่ยมวิมาน, โหมโรงไอยเรศ"
P154,PPPB,X X X X | X X X X | X X X X | - X - -,16,13,20,"ทะเลบ้า เถา, กราวนอก, ช้าเรื่องจีนแส (พระนคร), โสมส่องแสง เถา, ตะนาวมอญ สองชั้น"
P155,DDI,- - - X | - - - X | - X - X,12,4,19,"โลมเพลงฉิ่ง, โลมสิงโต, โอ้โลม, โลมพม่า, ชมตลาด, โลมมอญ"
P156,IBLJ,- X - X | - X - - | X X - X | - - X X,16,8,19,"เชิดฉาน, เชิดฉาน (ฉบับโครงสร้าง), ระบำม่านมุ้ยเชียงตา, ตระนิมิต, ช้างประสานงา เถา"
P157,IIBL,- X - X | - X - X | - X - - | X X - X,16,8,19,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), จีนขิมเล็ก เถา, เขมรโพธิสัตว์ เถา, เขมรโพธิสัตว์ สามชั้น, เขมรโพธิสัตว์ สองชั้น, ระบำม่านมุ้ยเชียงตา, โลม, ตะบองกัน …+2"
P158,JEPP,- - X X | X X - - | X X X X | X X X X,16,12,19,"ทะเลบ้า เถา, บังใบ เถา, แขกขาว เถา, โหมโรงจอมสุรางค์, ระบำชุมนุมเผ่าไทย, ระบำนกเขามะราปี, เงี้ยวรำลึก เถา, เชิดจีน"
P159,ODJI,- - - - | - - - X | - - X X | - X - X,16,5,19,"เงี้ยวรำลึก เถา, ระบำชาวนา, โยสลัม สองชั้น, ระบำเริงอรุณ, ระบำม่านมุ้ยเชียงตา, รำวงมาตรฐาน, ระบำชุมนุมเผ่าไทย, ระบำบันเทิงกาสร"
P160,PPNL,X X X X | X X X X | - X X X | X X - X,16,14,19,"แขกมอญ เถา, นารายณ์แปลงรูป สามชั้น, ทะแยกลองโยน, ช้าเรื่องจีนแส (พระนคร), ระบำศรีชัยสิงห์, โหมโรงกราวนอก, โหมโรงจีนโล้, เชิดจีน …+1"
P161,BPPP,- X - - | X X X X | X X X X | X X X X,16,13,18,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), แขกโอด สามชั้น, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), เชิดจีน"
P162,DDPI,- - - X | - - - X | X X X X | - X - X,16,8,18,"จีนรำพัด สองชั้น, โลมเพลงฉิ่ง, ระบำศรีชัยสิงห์, มอญรำดาบ สองชั้น, ระบำชาวนา, ตับวิวาห์พระสมุทร, ระบำอยุธยา, แมลงวันทอง สองชั้น …+4"
P163,IJIJ,- X - X | - - X X | - X - X | - - X X,16,8,18,"โหมโรงขวัญเมือง, อกทะเล สามชั้น, เชิดจีน, แขกโอด สามชั้น, ทยอยนอก สามชั้น, เทวาประสิทธิ์ สองชั้น, ชมดงใน สองชั้น"
P164,JIIN,- - X X | - X - X | - X - X | - X X X,16,9,18,"พญาเดิน, ตระเชิงเทียน, ทยอยนอก สามชั้น, พม่าเห่ เถา, ตระปลายพระลักษมณ์, ตระมารละม่อม, ต่อยรูป เถา, สุรินทราหู เถา …+6"
P165,OOPP,- - - - | - - - - | X X X X | X X X X,16,8,18,"ทยอยเขมร สามชั้น, แขกขาว เถา, พม่าห้าท่อน หกชั้น, แขกกุลิต เถา, แขกต่อยหม้อ เถา, มอญรำดาบ เถา, ช้างประสานงา เถา, โสมส่องแสง เถา …+2"
P166,IINN,- X - X | - X - X | - X X X | - X X X,16,10,17,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ระบำม่านมุ้ยเชียงตา, เชิดจีน, ระบำนพรัตน์, แขกมอญบางขุนพรหม เถา, ระบำทวารวดี, ระบำกรับ"
P167,IIPN,- X - X | - X - X | X X X X | - X X X,16,11,17,"นางครวญ เถา, ราตรีประดับดาว เถา, มอญรำดาบ เถา, ระบำเชียงแสน, ระบำกรับ, เขมรพวง เถา, แขกกุลิต เถา, ระบำทวารวดี …+1"
P168,INNI,- X - X | - X X X | - X X X | - X - X,16,10,17,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), สาธุการ, ปฐม สองชั้น, เชิด สองชั้น, เสมอ, ฟ้อนม่านมงคลใหม่, ฟ้อนม่านมงคล"
P169,JPNI,- - X X | X X X X | - X X X | - X - X,16,11,17,"ลาวเสี่ยงเทียน เถา, บังใบ เถา, ลาวชมดง สองชั้น, ลาวดำเนินทราย สองชั้น"
P170,NINL,- X X X | - X - X | - X X X | X X - X,16,11,17,"กลม, ระบำศรีชัยสิงห์, พระรามเดินดง, ช้าเรื่องสร้อยสน (พระนคร), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ระบำสี่บท, ลาวกระแซ สองชั้น"
P171,OIPL,- - - - | - X - X | X X X X | X X - X,16,9,17,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ทยอยนอก สามชั้น, เขมรพวง เถา, สร้อยลำปาง เถา, แขกลพบุรี สามชั้น, พระอาทิตย์ชิงดวง สองชั้น, ระบำอยุธยา"
P172,OPPO,- - - - | X X X X | X X X X | - - - -,16,8,17,"ทะเลบ้า เถา, พม่าห้าท่อน สามชั้น, สีนวล ออกต้นวรเชษฐ์, โหมโรงมหาฤกษ์, ทยอยญวน เถา, ระบำอยุธยา, พม่าเห่ เถา"
P173,PPPE,X X X X | X X X X | X X X X | X X - -,16,14,17,"กราวนอก, บังใบ เถา, ช้าเรื่องจีนแส (พระนคร), ระบำม้า (เพลงม้าโขยก), เชิดจีน"
P174,DDJP,- - - X | - - - X | - - X X | X X X X,16,8,16,"แขกกุลิต เถา, พญาเดิน, แขกขาว เถา, โหมโรงพม่าวัด, พันธุ์ฝรั่ง เถา, ตระท้าวน้อย, ช้างประสานงา เถา, ระบำเทพบันเทิง …+2"
P175,DNII,- - - X | - X X X | - X - X | - X - X,16,8,16,"แขกโอด สามชั้น, ช้าเรื่องขอมดำดิน, สารถี เถา, โหมโรงไอยเรศ สามชั้น, แขกมอญบางช้าง เถา, ราตรีประดับดาว เถา, หกบท เถา, เขมรโพธิสัตว์ เถา …+2"
P176,DOPP,- - - X | - - - - | X X X X | X X X X,16,9,16,"บังใบ เถา, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), สร้อยลำปาง เถา, ระบำศรีชัยสิงห์, พม่าห้าท่อน หกชั้น"
P177,IBNN,- X - X | - X - - | - X X X | - X X X,16,9,16,"กลม, กราวใน"
P178,IIIO,- X - X | - X - X | - X - X | - - - -,16,6,16,"ระบำมฤคระเริง, ช้าเรื่องจีนแส (พระนคร), จีนเก็บบุปผา, วิลันดาโอด สองชั้น, ระบำกฤดาภินิหาร, ช้าเรื่องตะนาว (พระนคร), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ตับสมิงทอง …+2"
P179,IILN,- X - X | - X - X | X X - X | - X X X,16,10,16,"สาธุการ, เข้าม่าน, ระบำไกรลาศสำเริง, ตระหญ้าปากคอก, ปฐม สองชั้น, เสมอ"
P180,NIIB,- X X X | - X - X | - X - X | - X - -,16,8,16,"เชิด สองชั้น, กราวใน, เขมรโพธิสัตว์ สามชั้น, ช้าเรื่องขอมดำดิน"
P181,NNPL,- X X X | - X X X | X X X X | X X - X,16,13,16,"ชาตรีตะลุง ชั้นเดียว, แขกมอญ เถา, ลาวดวงเดือน สองชั้น, ระบำดาวดึงส์, ระบำกฤดาภินิหาร, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), พม่าห้าท่อน หกชั้น"
P182,NPIJ,- X X X | X X X X | - X - X | - - X X,16,11,16,"สี่บท เถา, เอกบท สองชั้น, ระบำพัทธวิสัย, เอกบท สองชั้น (ฉบับที่ 2), เทพรัญจวน เถา"
P183,ODDO,- - - - | - - - X | - - - X | - - - -,16,2,16,"ทยอยญวน เถา, จีนลั่นถัน เถา, จีนล่องหน่าย, ราตรีประดับดาว เถา"
P184,OOBB,- - - - | - - - - | - X - - | - X - -,16,2,16,"แขกโอด สามชั้น, อกทะเล สามชั้น, ช้างประสานงา เถา"
P185,PPII,X X X X | X X X X | - X - X | - X - X,16,12,16,"ทยอยญวน เถา, แขกลพบุรี สามชั้น, ทยอยใน เถา, อาเฮีย เถา, อะแซหวุ่นกี้ เถา"
P186,PPJP,X X X X | X X X X | - - X X | X X X X,16,14,16,"จีนลั่นถัน เถา, ทยอยใน เถา, ทยอยเขมร สามชั้น, พม่าห้าท่อน สามชั้น"
P187,DBII,- - - X | - X - - | - X - X | - X - X,16,6,15,"พญาเดิน, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ระบำชุมนุมเผ่าไทย, เขมรปี่แก้ว สามชั้น, ระบำเริงอรุณ, ลาวกระแซ สองชั้น"
P188,DBIL,- - - X | - X - - | - X - X | X X - X,16,7,15,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ระบำชุมนุมเผ่าไทย, โหมโรงกราวนอก"
P189,DJJP,- - - X | - - X X | - - X X | X X X X,16,9,15,"แขกมอญบางขุนพรหม เถา, สร้อยลำปาง เถา, ทยอยเขมร สามชั้น, ราตรีประดับดาว เถา, เขมรโพธิสัตว์ เถา, เสมอลาว, ฟ้อนพวงมาลัย"
P190,III,- X - X | - X - X | - X - X,12,6,15,"พญาเดิน, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), โลมสิงโต, ยานี, โอ้ชาตรีนอก, โอ้ปี่นอก, อาเฮีย เถา, โอ้โลม …+1"
P191,JJIN,- - X X | - - X X | - X - X | - X X X,16,9,15,"อาเฮีย เถา, แขกโอด สามชั้น, ตระเชิงเทียน, หกบท เถา, อาหนู เถา, แขกลพบุรี สามชั้น, นารายณ์แปลงรูป สามชั้น, พญาโศก สามชั้น …+5"
P192,JPOO,- - X X | X X X X | - - - - | - - - -,16,6,15,"ระบำบันเทิงกาสร, ระบำเริงอรุณ, พม่าเห่ เถา, โหมโรงสามม้า, ช้างประสานงา เถา, เขมรไทรโยค, บังใบ เถา"
P193,JPPO,- - X X | X X X X | X X X X | - - - -,16,10,15,"เขมรราชบุรี สามชั้น, ภิรมย์สุรางค์ เถา, เงี้ยวรำลึก เถา, โหมโรงมหาฤกษ์"
P194,LLLL,X X - X | X X - X | X X - X | X X - X,16,12,15,"สารถี เถา, พญาโศก สามชั้น, โหมโรงสามม้า, บุหลัน เถา, สี่บท เถา, กล่อมนารี เถา, แขกมอญบางช้าง เถา, ถอนสมอ สามชั้น …+2"
P195,OINI,- - - - | - X - X | - X X X | - X - X,16,7,15,"ใบ้คลั่ง เถา, ลาวเสี่ยงเทียน เถา, เขมรพายเรือ สองชั้น, พม่าห้าท่อน หกชั้น, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ระบำนกเขามะราปี, รำวงมาตรฐาน, สี่บท เถา"
P196,PPEM,X X X X | X X X X | X X - - | X - X X,16,13,15,"ลาวเสี่ยงเทียน เถา, โสมส่องแสง เถา, ลาวดวงเดือน สองชั้น, เขมรโพธิสัตว์ สามชั้น, ลาวดำเนินทราย สองชั้น, เขมรลออองค์ เถา, เขมรโพธิสัตว์ เถา"
P197,DDJL,- - - X | - - - X | - - X X | X X - X,16,7,14,"ตระท้าวน้อย, มอญรำดาบ เถา, แมลงวันทอง สองชั้น, โอ้ลาว เถา, แขกขาว เถา, ระบำเทพบันเทิง, ระบำเริงอรุณ, ระบำสี่บท …+1"
P198,DJJJ,- - - X | - - X X | - - X X | - - X X,16,7,14,"ระบำอยุธยา, พม่าห้าท่อน หกชั้น, ทยอยนอก สามชั้น, ทยอยใน เถา, รำวงมาตรฐาน, ระบำฉิ่ง"
P199,JBPI,- - X X | - X - - | X X X X | - X - X,16,9,14,"แขกมอญ เถา, สุรินทราหู เถา, บังใบ เถา, อาถรรพ์ เถา, เขมรลออองค์ เถา, เขมรโพธิสัตว์ เถา, บุหลัน เถา"
P200,NPJE,- X X X | X X X X | - - X X | X X - -,16,11,14,"ชมแสงจันทร์ เถา, อาหนู เถา, ใบ้คลั่ง เถา, ลาวดำเนินทราย สองชั้น"
P201,ODJP,- - - - | - - - X | - - X X | X X X X,16,7,14,"สร้อยลำปาง เถา, ฟ้อนลาวคำหอม (เสียง มซซซ), ลาวคำหอม (เสียง ลา — อีกฉบับ), จีนลั่นถัน เถา, ระบำเชียงแสน, ระบำศรีวิชัย, ระบำสุโขทัย, โลมมอญ"
P202,OIDD,- - - - | - X - X | - - - X | - - - X,16,4,14,"พม่าห้าท่อน สามชั้น, ระบำบันเทิงกาสร, ระบำม่านมุ้ยเชียงตา, บาทสกุณี (เสมอตีนนก), ฟ้อนพวงมาลัย, พม่าเห่ เถา, อะแซหวุ่นกี้ เถา, ทยอยใน เถา"
P203,PI,X X X X | - X - X,8,6,14,"ชมแสงจันทร์ เถา, เขมรพวง เถา, ใบ้คลั่ง เถา, เชิดจีน, เจดีย์เจ็ดยอด, เชิด ชั้นเดียว, แขกต่อยหม้อ เถา, สุดสงวน เถา …+1"
P204,PPJE,X X X X | X X X X | - - X X | X X - -,16,12,14,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ชมแสงจันทร์ เถา, ช้าเรื่องจีนแส (พระนคร), ฟ้อนม่านมงคล, พันธุ์ฝรั่ง เถา"
P205,PPJJ,X X X X | X X X X | - - X X | - - X X,16,12,14,"อาเฮีย เถา, แขกลพบุรี สามชั้น, แขกโอด สามชั้น, อกทะเล สามชั้น, โหมโรงจอมสุรางค์"
P206,PPMD,X X X X | X X X X | X - X X | - - - X,16,12,14,"แขกลพบุรี สามชั้น, ลาวเสี่ยงเทียน เถา, กล่อมนารี เถา, โสมส่องแสง เถา"
P207,IBBI,- X - X | - X - - | - X - - | - X - X,16,6,13,"โอ้ลาว เถา, พม่าห้าท่อน หกชั้น, แขกมอญบางขุนพรหม เถา, ทยอยนอก สามชั้น, จระเข้หางยาว เถา (ทางเสภา)"
P208,IIJE,- X - X | - X - X | - - X X | X X - -,16,8,13,"ช้าเรื่องจีนแส (พระนคร), เขมรโพธิสัตว์ สามชั้น, บังใบ เถา"
P209,IJBL,- X - X | - - X X | - X - - | X X - X,16,8,13,"จีนล่องหน่าย, ตระนิมิต, เชิดฉาน, ชมโฉม, โลม, เชิดฉาน (ฉบับโครงสร้าง), โหมโรงมหาฤกษ์, ทยอยใน เถา"
P210,ILIP,- X - X | X X - X | - X - X | X X X X,16,11,13,"พระรามเดินดง, ระบำสี่บท, เชิดจีน"
P211,INIO,- X - X | - X X X | - X - X | - - - -,16,7,13,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ชมแสงจันทร์ เถา, พระรามเดินดง"
P212,JIPI,- - X X | - X - X | X X X X | - X - X,16,10,13,"เงี้ยวรำลึก เถา, เชิดจีน, ระบำชุมนุมเผ่าไทย, บังใบ เถา, แขกลพบุรี สามชั้น, ระบำดอกบัว"
P213,JLJL,- - X X | X X - X | - - X X | X X - X,16,10,13,"เข้าม่าน, เซ่นเหล้า, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ชำนาญ, พญาเดิน, ช้าเรื่องตะนาว (พระนคร), ระบำมยุราภิรมย์ …+1"
P214,JLPL,- - X X | X X - X | X X X X | X X - X,16,12,13,"เทพรัญจวน เถา, เขมรโพธิสัตว์ เถา, เขมรโพธิสัตว์ สามชั้น"
P215,JPII,- - X X | X X X X | - X - X | - X - X,16,10,13,"โสมส่องแสง เถา, อาหนู เถา, ลาวเสี่ยงเทียน เถา, ราตรีประดับดาว เถา, ลาวดวงเดือน สองชั้น, ลาวเล็กตัดสร้อย สองชั้น, ลาวชมดง สองชั้น, รำวงมาตรฐาน"
P216,JPPE,- - X X | X X X X | X X X X | X X - -,16,12,13,"ทยอยญวน เถา, สร้อยลำปาง เถา"
P217,NINP,- X X X | - X - X | - X X X | X X X X,16,12,13,"ช้างประสานงา เถา, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), แขกมอญ เถา, แขกมอญบางช้าง เถา, ระบำกุญชรเกษม, มอญรำดาบ เถา"
P218,NLIL,- X X X | X X - X | - X - X | X X - X,16,11,13,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ช้างประสานงา เถา, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ)"
P219,NNIN,- X X X | - X X X | - X - X | - X X X,16,11,13,"สาธุการ, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), พระรามเดินดง, ช้าเรื่องตะนาว (พระนคร), เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ช้าเรื่องขอมดำดิน, แขกบรเทศ เถา, อาหนู เถา …+3"
P220,OGGD,- - - - | X - - X | X - - X | - - - X,16,5,13,ทยอยเขมร สามชั้น
